mid,helvol,geomvol
mp-757980,0.000,55.100
mp-759775,0.000,79.493
mp-850412,9.562,147.338
mp-771947,0.000,105.269
mp-765701,1.078,41.436
mp-764379,0.114,42.545
mp-777463,0.000,28.338
mp-768543,14.537,130.578
mp-761201,0.000,87.046
mp-778744,0.000,25.113
mp-777477,0.000,55.403
mp-26574,0.019,193.310
mp-504353,0.205,103.327
mp-772269,0.000,110.297
mp-31746,0.019,140.992
mp-755826,1.023,30.799
mp-766234,4.201,225.084
mp-32529,0.003,145.319
mp-776741,0.000,121.181
mp-756491,0.057,39.592
mp-764345,0.000,38.057
mp-772533,17.608,304.953
mp-776755,0.310,295.833
mp-766220,0.691,113.628
mp-758641,0.000,37.001
mp-757214,0.000,23.783
mp-769488,0.000,92.210
mp-25294,0.000,50.042
mp-774397,0.000,42.977
mp-780216,0.000,32.840
mp-754721,0.000,37.679
mp-770697,9.321,271.403
mp-554799,0.045,48.455
mp-767499,0.002,244.547
mp-758669,6.945,123.613
mp-25280,0.006,93.915
mp-756644,0.000,26.154
mp-26762,0.000,140.743
mp-781691,0.000,55.765
mp-554014,0.000,37.718
mp-778234,0.000,348.088
mp-504151,13.199,154.149
mp-865132,0.000,55.436
mp-756863,0.000,34.429
mp-768755,3.094,319.027
mp-777675,0.000,69.333
mp-760309,0.000,118.233
mp-26986,0.308,125.518
mp-753933,0.075,48.093
mp-554028,0.000,353.433
mp-778208,3.120,244.409
mp-774432,0.000,80.583
mp-504179,0.000,86.722
mp-766022,0.000,41.396
mp-770898,0.002,66.789
mp-26992,0.000,90.437
mp-783911,10.662,345.689
mp-28000,0.781,165.019
mp-753926,1.285,37.371
mp-771239,0.000,94.016
mp-760320,0.064,212.105
mp-756692,23.085,49.271
mp-753932,0.000,24.446
mp-765258,0.000,39.943
mp-504178,24.843,441.232
mp-26039,0.000,175.766
mp-772042,0.000,42.864
mp-504150,55.885,286.688
mp-850188,0.005,65.144
mp-583981,0.024,39.446
mp-697794,49.079,212.181
mp-768754,0.200,287.377
mp-761016,0.667,78.618
mp-781684,0.006,149.434
mp-26777,0.000,73.176
