mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-540000,-67.73357036,-5.644464196666667,126.5118096509514,-1.0769741375,12,0.3111999999999999,4.7741354138933305,0.99976215,4.7741354138933305
mp-25545,-85.12220618,-7.093517181666667,139.894565877786,-1.7785588661533336,12,1.5739,4.127737892636819,3.000011425,4.127737892636819
mp-714969,-86.1789596,-7.181579966666667,183.75335097294663,-1.915640334166665,12,1.3853999999999997,4.624620362151215,2.0000476,4.624620362151215
mp-1043245,-108.92389701,-6.051327611666667,234.13452562075972,-1.6201149158333346,18,0.5783,4.258319027135296,4.9955118,4.258319027135296
mvc-12771,-64.4849291,-7.164992122222222,141.0561631729534,-2.519101714166668,9,2.3411999999999997,2.6155955328701217,0.0,2.6155955328701217
mp-697788,-282.87237203,-7.07180930075,535.0119819105582,-2.2787439771495714,40,0.0,2.841554668707843,3.978855425,2.841554668707843
mp-765763,-208.515594,-6.318654363636363,451.83903946280765,-1.9169776107386365,33,0.0,2.691486881882765,1.9693833666666667,2.691486881882765
mvc-13593,-556.77069921,-7.325930252763158,931.0999852066847,-2.822860900921053,76,2.4041,3.141165653495673,9.99999985,3.141165653495673
mp-774537,-265.23376913,-7.800993209705882,464.79670102562045,-2.9290818699859944,34,0.0,2.719817098140014,0.66474325,2.719817098140014
mp-1042875,-246.95893109,-6.17397327725,599.4253243836351,-1.5312527122209993,40,0.5503,3.510166346336619,3.003527125,3.510166346336619
mp-1048114,-184.95256959,-5.1375713775,549.4528556953699,-2.9717771045366663,36,0.0,3.8963235855808156,2.000292825,3.8963235855808156
mvc-12204,-218.20571375,-6.061269826388889,447.1490220982932,-1.3301675905555566,36,0.0,3.9146159900997017,2.83641075,3.9146159900997017
mp-1042861,-238.53144097,-5.96328602425,620.2536296700208,-1.4957222831249992,40,0.0,3.4020062706542014,4.9106472,3.4020062706542014
mp-32442,-292.84610426,-7.3211526065,472.6410356664005,-2.5354646338035707,40,1.4377000000000002,3.1603690883844737,0.999610225,3.1603690883844737
mp-540430,-287.35335057,-7.183833764249999,474.1159130112702,-2.37623796555357,40,0.0,3.165312312292665,1.9977097,3.165312312292665
mp-694636,-142.01587829,-7.1007939145,268.3760231644029,-2.3077285908995706,20,0.2191,2.8323428022504307,3.00021455,2.8323428022504307
mp-687212,-243.22545077,-7.153689728529412,439.557195013251,-2.444175829915967,34,0.0025000000000000577,2.779550260006159,1.99867845,2.779550260006159
mvc-7342,-472.85758811,-6.567466501527778,1011.2255995802911,-2.1377737745833323,72,0.006500000000000006,2.770045303844827,3.748853325,2.770045303844827
mp-1043444,-204.01352652,-5.667042403333333,470.70406092243036,-1.415709739722222,36,0.0,4.232906448649298,0.908296775,4.232906448649298
mvc-13124,-120.09570377,-6.320826514210526,281.68788121661095,-2.2041106734210536,19,0.0,4.626079982121788,0.5128145,4.626079982121788
mp-1042747,-215.59105832,-5.389776458,604.5982342111571,-1.133188398875,40,0.48239999999999994,3.5213901309477147,1.999184325,3.5213901309477147
mp-25262,-105.53608265,-8.794673554166666,150.2147379102473,-3.3401391572222217,12,1.712,3.531485144688587,3.25e-07,3.531485144688587
mp-1044639,-226.34489105,-6.287358084722222,478.2146368491608,-1.8016079966666665,36,0.0632,4.126863933485826,4.00516615,4.126863933485826
mp-31998,-241.14872508,-7.09260956117647,452.60727521066633,-2.391643000854789,34,0.020500000000000018,2.7209941425831117,3.0000001,2.7209941425831117
mp-1040930,-380.6774076,-7.320719376923076,757.2199205991186,-2.4298412165796703,52,1.6082,3.489602689559722,4.001915225,3.489602689559722
mvc-12122,-302.76960379,-6.307700078958334,637.0399605349947,-1.5682218214583337,48,0.19350000000000003,3.7219828578338947,0.0,3.7219828578338947
mvc-13203,-202.54864734,-5.626351315,387.7932545138231,-1.0588612558333337,36,0.4857,4.672473053876776,1.3333339750000002,4.672473053876776
mvc-5548,-274.03177909,-7.611993863611111,449.3658833231304,-2.321626717777777,36,0.8606000000000003,3.677865487806322,0.6666667166666667,3.677865487806322
mp-1042355,-547.68959088,-7.606799873333333,1007.1848384388037,-2.731926056388889,72,1.6727999999999998,2.6928241915836884,1.989129375,2.6928241915836884
mp-1046640,-252.94868193,-4.864397729423077,619.0958481698385,-0.8755170302884608,52,0.0,5.172656445348312,6.6906376,5.172656445348312
mp-1041708,-287.05899673,-6.240412972391304,635.9561903530489,-1.5100092225165218,46,0.7251,3.762533783559597,10.9709379,3.762533783559597
mvc-5444,-253.13413665,-7.031503795833333,419.88042936579524,-1.7165454803199998,36,0.02080000000000015,4.125803872925799,3.0000000750000004,4.125803872925799
mp-25633,-140.36851474,-7.798250818888889,214.02491482520415,-2.9477190308333334,18,1.4068,3.1516915504618446,0.9999043,3.1516915504618446
mp-540273,-127.14830373,-6.3574151865,268.9449436044849,-1.9504823688035713,20,0.0,2.8727244852597633,0.02978145,2.8727244852597633
mp-1041066,-251.19960305,-6.977766751388889,429.9173928888357,-1.6628084358755553,36,0.0,4.029481780215112,2.99033045,4.029481780215112
mp-504100,-56.60259175,-4.7168826458333335,140.2492689960823,-0.5282932766666661,12,0.0,4.52496819711549,0.9975871,4.52496819711549
mp-1044853,-316.85347407,-8.801485390833333,459.9729658896845,-3.34695099388889,36,1.8458,3.4598627840047023,0.0,3.4598627840047023
mvc-11093,-83.07830102,-6.923191751666667,145.78398523765566,-1.608233436153333,12,0.0,3.9609844634605422,3.0,3.9609844634605422
mvc-12125,-72.24049356,-6.02004113,143.98049671613165,-1.288938894166667,12,0.0,4.052439396970321,4.00464465,4.052439396970321
mp-1047608,-261.02787146,-5.674518944782608,639.8752075173736,-1.2366027734782603,46,0.10560000000000003,3.8016963897997114,12.88073725,3.8016963897997114
mp-766786,-62.48009796,-5.20667483,196.7649972203237,-2.788778785158333,12,3.2563999999999997,2.463124071718125,0.0006775,2.463124071718125
mvc-6284,-273.68542789,-5.949683215,687.8909890499887,-1.4477448876086967,46,0.0,3.4916038942367993,12.01166605,3.4916038942367993
mp-25523,-130.45750295,-7.247639052777777,216.72356953784293,-2.583528901388889,18,0.0,3.187587872797399,3.96134545,3.187587872797399
mp-510748,-104.00685122,-7.429060801428571,225.52378165354568,-2.2897121166071437,14,2.4242999999999997,2.6783768734347273,0.0003749,2.6783768734347273
