mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-760957,-281.55386442,-6.39895146409091,608.8468940636413,-2.231479752275976,44,0.5751000000000001,2.841671413371978,0.0,2.841671413371978
mp-614565,-13.81463439,-4.60487813,57.297760560678384,-0.42083724583333354,3,0.0,2.7689715778852344,0.9999218,2.7689715778852344
mvc-12304,-388.4895209,-7.470952325,677.3900104380878,-2.574664932925823,52,1.105,3.018383076327102,1.99999985,3.018383076327102
mp-767688,-158.29166904,-7.195075865454545,369.72499906885275,-2.620196650376624,22,0.1866000000000001,2.8942898556800114,0.99999985,2.8942898556800114
mp-1220361,-32.73629698,-8.184074245,63.56666755039264,-2.4859780590625,4,0.0,3.6808214905920122,1.0000004,3.6808214905920122
mp-850975,-338.38238219,-6.266340410925926,682.656498428969,-1.8007450411875001,54,0.0,2.653548852985167,1.99999875,2.653548852985167
mp-779754,-343.67400896,-6.137035874285714,696.3270500161918,-1.740860884374999,56,0.0,2.915502567371535,3.837763,2.915502567371535
mp-26446,-251.98712053,-6.631240013947369,709.1994172779048,-2.2636634287593975,38,0.0,3.5578182662497864,1.0,3.5578182662497864
mp-1221001,-330.34656276,-6.232954014339622,683.1972202059866,-2.615107234991833,53,0.0,3.062000645116081,30.9680443,3.062000645116081
mp-768122,-144.72008207,-6.578185548636363,361.01011622662475,-2.082110936967533,22,0.0,3.5597135304757908,0.9950463,3.5597135304757908
mp-759684,-283.08234888,-6.433689747272727,633.1818436881829,-2.400851584525974,44,0.0,3.2825505402060435,1.99641515,3.2825505402060435
mp-556417,-35.27161408,-3.919068231111111,158.7380239245021,-2.3445546508699615,9,2.4257,3.594560687961614,0.0,3.594560687961614
mp-771992,-334.75595939,-6.6951191878,683.8968590159844,-1.8103423593224988,50,0.0,2.397790239163036,7.9999989,2.397790239163036
mp-775750,-675.98507702,-7.347663880652173,1248.2778415082792,-2.8440580380978258,92,0.0,2.507760430052973,3.186751175,2.507760430052973
mp-540496,-348.50760751,-6.702069375192308,641.4743554314362,-2.212345372513737,52,0.21110000000000007,3.1111372575414338,1.996592925,3.1111372575414338
mp-775436,-256.68062955,-7.549430280882353,478.82828523125517,-2.7461672336134457,34,0.0,2.667782657101671,1.9999997,2.667782657101671
mp-1220547,-129.03155495,-7.168419719444444,295.3356907960667,-1.801011760694445,18,0.0,4.3714429816777445,3.00000035,4.3714429816777445
mp-1217845,-134.92895674,-7.496053152222221,289.8705708673674,-1.935054307916667,18,0.0,5.462561528104375,3.000407,5.462561528104375
mp-1179567,-88.9045123,-5.55653201875,285.61768880953423,-1.3548840703125,16,0.0,3.947796365625071,1.000000075,3.947796365625071
mp-1101501,-549.07414904,-6.239478966363635,1223.3953905868764,-1.8813801163555193,88,0.009899999999999992,2.9316279658572064,3.9999988,2.9316279658572064
mp-776597,-240.07682805,-6.668800779166666,494.6983468059241,-2.3469200301706343,36,0.7094,2.701606469583036,0.0,2.701606469583036
mp-504406,-637.84939686,-7.087215520666666,1222.5829951477365,-2.322143283095238,90,0.0,2.712991425160498,5.00249515,2.712991425160498
